,,,1,,2,,,,,,,,,,金亮,,,,,,0,,內容,
,,,15AX-JP000,,青眼究極龍,,融合怪獸,,等級12,,光,,龍族,,雷射,,4500,,3800,,23995346,,內容,
,,,15AX-JPM01N,,黑魔導女孩,,效果怪獸,,等級6,,闇,,魔法使族,,普卡字紋鑽,,2000,,1700,,38033121,,內容,
,,,15AX-JPM01,,黑魔導女孩,,效果怪獸,,等級6,,闇,,魔法使族,,半鑽,,2000,,1700,,38033121,,內容,
,,,15AX-JPM02N,,黑．魔．導．爆．裂．破,,通常魔法,,,,魔,,,,普卡字紋鑽,,,,,,49702428,,內容,
,,,15AX-JPM02,,黑．魔．導．爆．裂．破,,通常魔法,,,,魔,,,,半鑽,,,,,,49702428,,內容,
,,,15AX-JPM03N,,和平之輪,,通常魔法,,,,魔,,,,普卡字紋鑽,,,,,,02295831,,內容,
,,,15AX-JPM03,,和平之輪,,通常魔法,,,,魔,,,,半鑽,,,,,,02295831,,內容,
,,,15AX-JPM04N,,超電磁龜,,效果怪獸,,等級4,,光,,機械族,,普卡字紋鑽,,0,,1800,,34710660,,內容,
,,,15AX-JPM04,,超電磁龜,,效果怪獸,,等級4,,光,,機械族,,普卡,,0,,1800,,34710660,,內容,
,,,15AX-JPM05N,,黑色幻象,,通常陷阱,,,,罠,,,,普卡字紋鑽,,,,,,32754886,,內容,
,,,15AX-JPM05,,黑色幻象,,通常陷阱,,,,罠,,,,普卡,,,,,,32754886,,內容,
,,,15AX-JPM06N,,精靈劍士,,通常怪獸,,等級4,,地,,戰士族,,普卡字紋鑽,,1400,,1200,,91152256,,內容,
,,,15AX-JPM06,,精靈劍士,,通常怪獸,,等級4,,地,,戰士族,,半鑽,,1400,,1200,,91152256,,內容,
,,,15AX-JPM07N,,真紅眼黑龍,,通常怪獸,,等級7,,闇,,龍族,,普卡字紋鑽,,2400,,2000,,74677422,,內容,
,,,15AX-JPM07,,真紅眼黑龍,,通常怪獸,,等級7,,闇,,龍族,,半鑽,,2400,,2000,,74677422,,內容,
,,,15AX-JPM08N,,老虎戰士,,通常怪獸,,等級4,,地,,獸戰士族,,普卡字紋鑽,,1300,,1100,,49791927,,內容,
,,,15AX-JPM08,,老虎戰士,,通常怪獸,,等級4,,地,,獸戰士族,,普卡,,1300,,1100,,49791927,,內容,
,,,15AX-JPM09N,,蝙蝠魔鬼,,通常怪獸,,等級7,,闇,,惡魔族,,普卡字紋鑽,,2600,,1900,,24311372,,內容,
,,,15AX-JPM09,,蝙蝠魔鬼,,通常怪獸,,等級7,,闇,,惡魔族,,普卡,,2600,,1900,,24311372,,內容,
,,,15AX-JPM10N,,聖夜龍,,通常怪獸,,等級7,,光,,龍族,,普卡字紋鑽,,2500,,2300,,-,,內容,
,,,15AX-JPM10,,聖夜龍,,通常怪獸,,等級7,,光,,龍族,,半鑽,,2500,,2300,,-,,內容,
,,,15AX-JPM11N,,揮刀的拷問機器,,通常怪獸,,等級6,,闇,,機械族,,普卡字紋鑽,,1750,,2000,,24433920,,內容,
,,,15AX-JPM11,,揮刀的拷問機器,,通常怪獸,,等級6,,闇,,機械族,,普卡,,1750,,2000,,24433920,,內容,
,,,15AX-JPM12N,,TM1雷射轟天炮蜘蛛,,通常怪獸,,等級7,,炎,,機械族,,普卡字紋鑽,,2200,,2500,,87322377,,內容,
,,,15AX-JPM12,,TM1雷射轟天炮蜘蛛,,通常怪獸,,等級7,,炎,,機械族,,普卡,,2200,,2500,,87322377,,內容,
,,,15AX-JPM13N,,千年盾,,通常怪獸,,等級5,,地,,戰士族,,普卡字紋鑽,,0,,3000,,32012841,,內容,
,,,15AX-JPM13,,千年盾,,通常怪獸,,等級5,,地,,戰士族,,普卡,,0,,3000,,32012841,,內容,
,,,15AX-JPM14N,,女劍士迦南,,通常怪獸,,等級4,,地,,戰士族,,普卡字紋鑽,,1400,,1400,,12829151,,內容,
,,,15AX-JPM14,,女劍士迦南,,通常怪獸,,等級4,,地,,戰士族,,普卡,,1400,,1400,,12829151,,內容,
,,,15AX-JPM15N,,魔導女武神,,效果怪獸,,等級4,,光,,魔法使族,,普卡字紋鑽,,1600,,1800,,80304126,,內容,
,,,15AX-JPM15,,魔導女武神,,效果怪獸,,等級4,,光,,魔法使族,,半鑽,,1600,,1800,,80304126,,內容,
,,,15AX-JPM16N,,真紅眼鋼鐵黑龍,,效果怪獸,,等級8,,闇,,機械族,,普卡字紋鑽,,2800,,2400,,64335804,,內容,
,,,15AX-JPM16,,真紅眼鋼鐵黑龍,,效果怪獸,,等級8,,闇,,機械族,,普卡,,2800,,2400,,64335804,,內容,
,,,15AX-JPM17N,,閃電戰神(雷光斷罪者),,效果怪獸,,等級8,,光,,戰士族,,普卡字紋鑽,,2800,,1400,,36354007,,內容,
,,,15AX-JPM17,,閃電戰神(雷光斷罪者),,效果怪獸,,等級8,,光,,戰士族,,半鑽,,2800,,1400,,36354007,,內容,
,,,15AX-JPM18N,,漆黑的豹戰士,,效果怪獸,,等級4,,地,,獸戰士族,,普卡字紋鑽,,2000,,1600,,42035044,,內容,
,,,15AX-JPM18,,漆黑的豹戰士,,效果怪獸,,等級4,,地,,獸戰士族,,普卡,,2000,,1600,,42035044,,內容,
,,,15AX-JPM19N,,神鷹寵物龍,,效果怪獸,,等級7,,風,,龍族,,普卡字紋鑽,,2000,,2500,,52040216,,內容,
,,,15AX-JPM19,,神鷹寵物龍,,效果怪獸,,等級7,,風,,龍族,,普卡,,2000,,2500,,52040216,,內容,
,,,15AX-JPM20N,,神鷹女郎電子盔甲,,效果怪獸,,等級4,,風,,鳥獸族,,普卡字紋鑽,,1800,,1300,,80316585,,內容,
,,,15AX-JPM20,,神鷹女郎電子盔甲,,效果怪獸,,等級4,,風,,鳥獸族,,普卡,,1800,,1300,,80316585,,內容,
,,,15AX-JPM21N,,亞馬遜的鎖鍊使,,效果怪獸,,等級4,,地,,戰士族,,普卡字紋鑽,,1500,,1300,,29654737,,內容,
,,,15AX-JPM21,,亞馬遜的鎖鍊使,,效果怪獸,,等級4,,地,,戰士族,,普卡,,1500,,1300,,29654737,,內容,
,,,15AX-JPM22N,,金屬化蝙蝠魔鬼,,效果怪獸,,等級8,,闇,,機械族,,普卡字紋鑽,,3000,,2300,,50705071,,內容,
,,,15AX-JPM22,,金屬化蝙蝠魔鬼,,效果怪獸,,等級8,,闇,,機械族,,普卡,,3000,,2300,,50705071,,內容,
,,,15AX-JPM23N,,假面魔獸帝斯卡帝斯,,效果怪獸,,等級8,,闇,,惡魔族,,普卡字紋鑽,,3300,,2500,,48948935,,內容,
,,,15AX-JPM23,,假面魔獸帝斯卡帝斯,,效果怪獸,,等級8,,闇,,惡魔族,,半鑽,,3300,,2500,,48948935,,內容,
,,,15AX-JPM24N,,漢尼拔死靈師,,效果怪獸,,等級4,,闇,,魔法使族,,普卡字紋鑽,,1400,,1800,,05640330,,內容,
,,,15AX-JPM24,,漢尼拔死靈師,,效果怪獸,,等級4,,闇,,魔法使族,,普卡,,1400,,1800,,05640330,,內容,
,,,15AX-JPM25N,,妖精王奧伯龍,,效果怪獸,,等級6,,水,,植物族,,普卡字紋鑽,,2200,,1500,,45425051,,內容,
,,,15AX-JPM25,,妖精王奧伯龍,,效果怪獸,,等級6,,水,,植物族,,普卡,,2200,,1500,,45425051,,內容,
,,,15AX-JPM26N,,天眾,,效果怪獸,,等級5,,光,,戰士族,,普卡字紋鑽,,2000,,1500,,16469012,,內容,
,,,15AX-JPM26,,天眾,,效果怪獸,,等級5,,光,,戰士族,,普卡,,2000,,1500,,16469012,,內容,
,,,15AX-JPM27N,,宇宙人馬,,效果怪獸,,等級4,,闇,,獸戰士族,,普卡字紋鑽,,1800,,1900,,63749102,,內容,
